nwb_fname,donor,dat_file,group_label,has_long_square,n_sweeps,protocols
sub-H20-28-044_icephys.nwb,H20.28.044,H20.28.044.11.05.dat,PGS4_201118_704_A01,True,61,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpciiatt, extpexpend, extpggaend, extpinbath"
sub-H19-28-014_obj-1vvnf49_icephys.nwb,H19.28.014,H19.28.014.11.05.dat,PGS4_190524_701_A01,True,66,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpbreakn, extpexpend, extpinbath"
sub-H19-28-014_obj-147goqv_icephys.nwb,H19.28.014,H19.28.014.11.06.dat,PGS4_190524_704_A01,True,125,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpbreakn, extpciiatt, extpexpend, extpggaend, extpinbath"
sub-H19-28-019_icephys.nwb,H19.28.019,H19.28.019.11.07.dat,PGS4_191126_801_A01,True,105,"Capacitance, Chirp, Chirp test, Long square, Ramp, Ramp_test, Rheobase, Short square, extpbreakn, extpciiatt, extpggaend, extpinbath"
sub-H19-28-014_obj-al2ynk_icephys.nwb,H19.28.014,H19.28.014.11.06.dat,PGS4_190524_703_A01,True,37,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpbreakn, extpexpend, extpggaend, extpinbath"
sub-H18-28-020_obj-1lngkye_icephys.nwb,H18.28.020,H18.28.020.11.11.dat,PGS4_180613_705_A01,True,67,"Capacitance, Chirp, Long square, Ramp, Rheobase, Short square, extpbreakn, extpciiatt, extpexpend, extpinbath"
sub-H18-28-020_obj-1k1xs83_icephys.nwb,H18.28.020,H18.28.020.11.04.dat,PGS4_180613_701_A01,True,226,"Long square, Rheobase, Short square, extpbreakn, extpciiatt, extpinbath"
sub-H18-28-020_obj-1medi5m_icephys.nwb,H18.28.020,H18.28.020.11.07.dat,PGS4_180613_702_A01,True,114,"Capacitance, Chirp, Long square, Ramp, Rheobase, Short square, extpbreakn, extpciiatt, extpexpend, extpinbath"
sub-H20-28-008_obj-i3x4vp_icephys.nwb,H20.28.008,H20.28.008.11.06.dat,PGS4_200227_708_A01,True,44,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpbreakn, extpexpend, extpinbath"
sub-H20-28-008_obj-1umszxs_icephys.nwb,H20.28.008,H20.28.008.11.05.dat,PGS4_200227_701_A01,True,45,"Capacitance, Chirp, Chirp test, Long square, Ramp, Rheobase, Short square, extpbreakn, extpexpend, extpggaend, extpinbath"
