,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-GE4W8_S016_E1-50,Pvalb,1.0,Pvalb_1,0.9373237490653992
SM-GE4W8_S017_E1-50,Pvalb,1.0,Pvalb_1,0.9997594952583312
SM-GE4W8_S018_E1-50,Pvalb,1.0,Pvalb_15,0.999970316886902
SM-GE4W8_S019_E1-50,Sst,1.0,Sst_1,0.9999994039535522
SM-GE4W8_S020_E1-50,Pvalb,1.0,Pvalb_3,0.9999892711639404
SM-GE4W8_S021_E1-50,Pvalb,0.9999995231628418,Pvalb_2,0.9673800468444824
SM-GE4W8_S022_E1-50,Pvalb,0.9999960660934448,Pvalb_15,0.9703265428543092
SM-GE4W8_S023_E1-50,Sst Chodl,0.9998002648353576,Sst Chodl_2,0.8978231549263
SM-GE4W8_S024_E1-50,Sst,0.9666288495063782,Sst_23,0.9982006549835204
SM-GE4W8_S025_E1-50,Sst,0.5736315846443176,Sst_2,0.8329561948776245
SM-GE4W8_S026_E1-50,Pvalb,0.9999996423721312,Pvalb_15,1.0
SM-GE4W8_S027_E1-50,Sst,0.9999995231628418,Sst_3,0.9999988079071044
SM-GE4W8_S028_E1-50,Pvalb,0.999997615814209,Pvalb_15,1.0
SM-GE4W8_S029_E1-50,L4 IT,0.9999966621398926,L4 IT_1,0.9999997615814208
SM-GE4W8_S094_E1-50,Sst,0.9999960660934448,Sst_5,1.0
SM-GE4W8_S095_E1-50,Pvalb,0.9999998807907104,Pvalb_15,1.0
SM-GE4W8_S096_E1-50,Pvalb,0.999969720840454,Pvalb_15,0.5545737743377686
SM-GE4WC_S001_E1-50,Pvalb,0.9999854564666748,Pvalb_7,0.9678757190704346
SM-GE4WC_S002_E1-50,Sst,0.9997894167900084,Sst_23,0.9852631092071532
SM-GE4WC_S003_E1-50,Pvalb,1.0,Pvalb_15,1.0
SM-GE4WC_S004_E1-50,Pvalb,0.9999997615814208,Pvalb_6,0.999986171722412
SM-GE4WC_S005_E1-50,Pvalb,0.9999990463256836,Pvalb_2,0.9981843829154968
SM-GE4WC_S078_E1-50,L4 IT,0.9996603727340698,L4 IT_1,0.4534462988376617
SM-GE4WC_S079_E1-50,Sst,0.999728262424469,Sst_11,0.998336374759674
SM-GE4WC_S080_E1-50,Sst,0.9996718168258668,Sst_11,0.9994933605194092
SM-GE4WC_S081_E1-50,Pvalb,0.9999935626983644,Pvalb_7,0.9999278783798218
SM-GE4WC_S082_E1-50,Pvalb,1.0,Pvalb_7,0.8480554223060608
SM-GE4WC_S083_E1-50,Pvalb,0.9999384880065918,Pvalb_15,0.9999942779541016
SM-GE4WC_S084_E1-50,Pvalb,0.9999997615814208,Pvalb_1,0.9728758335113524
SM-GE4WC_S085_E1-50,Sst,0.9973280429840088,Sst_25,0.9649569392204284
SM-GE4WC_S086_E1-50,Pvalb,0.9998718500137328,Pvalb_6,0.9506343007087708
SM-GE4WC_S087_E1-50,Vip,1.0,Vip_18,0.7140422463417053
SM-GE4WL_S003_E1-50,L4 IT,0.9999974966049194,L4 IT_1,0.9915659427642822
SM-GE4WL_S004_E1-50,L2/3 IT,0.9863345623016356,L2/3 IT_1,0.9999996423721312
SM-GE4WL_S005_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999921321868896
SM-GE4WL_S006_E1-50,Lamp5,1.0,Lamp5_2,0.9997790455818176
SM-GE4WL_S007_E1-50,Sncg,0.9988371729850768,Sncg_3,0.9605776071548462
SM-GE4WL_S008_E1-50,Lamp5_Lhx6,0.8850089907646179,Lamp5_Lhx6_1,1.0
SM-GE4WL_S018_E1-50,Pvalb,1.0,Pvalb_2,0.9999990463256836
SM-GE4WL_S026_E1-50,Sst,1.0,Sst_22,0.9899296164512634
