donor,our_specimen_id,our_cell_name,our_dataset,nwb_filename,n_our_cells,n_nwb_files
H18.28.011,,,,sub-H18-28-011_icephys.nwb,0,1
H18.28.013,,,,sub-H18-28-013_obj-189zl3t_icephys.nwb,0,4
H18.28.013,,,,sub-H18-28-013_obj-1piss2h_icephys.nwb,0,4
H18.28.013,,,,sub-H18-28-013_obj-ephl9m_icephys.nwb,0,4
H18.28.013,,,,sub-H18-28-013_obj-i2h56d_icephys.nwb,0,4
H18.28.015,701169770,H18.28.015.11.13.01,L1,sub-H18-28-015_obj-1ojvqk8_icephys.nwb,1,5
H18.28.015,,,,sub-H18-28-015_obj-1s6q6nd_icephys.nwb,1,5
H18.28.015,,,,sub-H18-28-015_obj-3u86xs_icephys.nwb,1,5
H18.28.015,,,,sub-H18-28-015_obj-sj5n50_icephys.nwb,1,5
H18.28.015,,,,sub-H18-28-015_obj-wqd7m6_icephys.nwb,1,5
H18.28.016,,,,sub-H18-28-016_obj-1l4l0lo_icephys.nwb,0,2
H18.28.016,,,,sub-H18-28-016_obj-xswdmm_icephys.nwb,0,2
H18.28.020,,,,sub-H18-28-020_obj-1k1xs83_icephys.nwb,0,3
H18.28.020,,,,sub-H18-28-020_obj-1lngkye_icephys.nwb,0,3
H18.28.020,,,,sub-H18-28-020_obj-1medi5m_icephys.nwb,0,3
H18.28.021,718211637,H18.28.021.11.05.01,L1,,2,0
H18.28.021,718214070,H18.28.021.11.07.01,L1,,2,0
H18.28.022,742954180,H18.28.022.11.09.01,L1,sub-H18-28-022_obj-1eueuiq_icephys.nwb,2,6
H18.28.022,742954760,H18.28.022.11.09.03,L1,sub-H18-28-022_obj-1nyyyz6_icephys.nwb,2,6
H18.28.022,,,,sub-H18-28-022_obj-dkqjza_icephys.nwb,2,6
H18.28.022,,,,sub-H18-28-022_obj-ggvvth_icephys.nwb,2,6
H18.28.022,,,,sub-H18-28-022_obj-of4o52_icephys.nwb,2,6
H18.28.022,,,,sub-H18-28-022_obj-zawl1i_icephys.nwb,2,6
H18.28.025,756887925,H18.28.025.11.06.01,L1,sub-H18-28-025_obj-4ubkfz_icephys.nwb,3,4
H18.28.025,756894558,H18.28.025.11.07.02,L1,sub-H18-28-025_obj-jr1eyz_icephys.nwb,3,4
H18.28.025,756909022,H18.28.025.12.06.02,L1,sub-H18-28-025_obj-ny4ziz_icephys.nwb,3,4
H18.28.025,,,,sub-H18-28-025_obj-r0wovk_icephys.nwb,3,4
H18.28.026,,,,sub-H18-28-026_icephys.nwb,0,1
H19.28.001,,,,sub-H19-28-001_icephys.nwb,0,1
H19.28.005,828758585,H19.28.005.11.05.01,L1,sub-H19-28-005_obj-no5qay_icephys.nwb,1,2
H19.28.005,,,,sub-H19-28-005_obj-qtr6wy_icephys.nwb,1,2
H19.28.007,833701196,H19.28.007.11.07.01,L1,sub-H19-28-007_obj-1g4rj5c_icephys.nwb,1,3
H19.28.007,,,,sub-H19-28-007_obj-1jyzyo5_icephys.nwb,1,3
H19.28.007,,,,sub-H19-28-007_obj-c8deye_icephys.nwb,1,3
H19.28.009,853712464,H19.28.009.11.05.02,L1,,2,0
H19.28.009,853709208,H19.28.009.11.06.03,L1,,2,0
H19.28.014,882787642,H19.28.014.11.06.01,L1,sub-H19-28-014_obj-147goqv_icephys.nwb,2,3
H19.28.014,882787973,H19.28.014.11.06.02,L1,sub-H19-28-014_obj-1vvnf49_icephys.nwb,2,3
H19.28.014,,,,sub-H19-28-014_obj-al2ynk_icephys.nwb,2,3
H19.28.015,896249741,H19.28.015.11.05.04,L1,sub-H19-28-015_obj-19sczoc_icephys.nwb,5,7
H19.28.015,896248509,H19.28.015.11.07.01,L1,sub-H19-28-015_obj-1fmmdzl_icephys.nwb,5,7
H19.28.015,896248557,H19.28.015.11.07.02,L1,sub-H19-28-015_obj-1jk0ah4_icephys.nwb,5,7
H19.28.015,896248627,H19.28.015.11.07.03,L1,sub-H19-28-015_obj-vw9ofl_icephys.nwb,5,7
H19.28.015,896248687,H19.28.015.11.07.04,L1,sub-H19-28-015_obj-x3o60t_icephys.nwb,5,7
H19.28.015,,,,sub-H19-28-015_obj-z2ba0c_icephys.nwb,5,7
H19.28.015,,,,sub-H19-28-015_obj-zxmk0p_icephys.nwb,5,7
H19.28.018,992383738,H19.28.018.11.05.01,L1,sub-H19-28-018_obj-11qqs7l_icephys.nwb,3,3
H19.28.018,992383854,H19.28.018.11.05.06,L1,sub-H19-28-018_obj-1gyev0i_icephys.nwb,3,3
H19.28.018,992386355,H19.28.018.11.06.04,L1,sub-H19-28-018_obj-1uetfl7_icephys.nwb,3,3
H19.28.019,,,,sub-H19-28-019_icephys.nwb,0,1
H19.28.025,1000307421,H19.28.025.11.06.03,L1,sub-H19-28-025_obj-1r9l6s_icephys.nwb,3,3
H19.28.025,1000307526,H19.28.025.11.06.05,L1,sub-H19-28-025_obj-489c6f_icephys.nwb,3,3
H19.28.025,1000308872,H19.28.025.11.07.09,L1,sub-H19-28-025_obj-wkku4c_icephys.nwb,3,3
H20.28.001,1004840721,H20.28.001.11.05 .01,L1,,2,0
H20.28.001,1004840833,H20.28.001.11.05.05,L1,,2,0
H20.28.002,1006066563,H20.28.002.12.07.01,L1,sub-H20-28-002_obj-1gybi3a_icephys.nwb,3,3
H20.28.002,1006066617,H20.28.002.12.07.02,L1,sub-H20-28-002_obj-81b7j5_icephys.nwb,3,3
H20.28.002,1006066675,H20.28.002.12.07.03,L1,sub-H20-28-002_obj-uax3za_icephys.nwb,3,3
H20.28.004,1009237682,H20.28.004.11.06.08,L1,sub-H20-28-004_icephys.nwb,1,1
H20.28.006,1030887028,H20.28.006.11.06.02,L1,sub-H20-28-006_obj-1l25o4r_icephys.nwb,5,7
H20.28.006,1009830798,H20.28.006.11.07.04,L1,sub-H20-28-006_obj-1pljmik_icephys.nwb,5,7
H20.28.006,1009830850,H20.28.006.11.07.05,L1,sub-H20-28-006_obj-f1jsq6_icephys.nwb,5,7
H20.28.006,1009830894,H20.28.006.11.07.06,L1,sub-H20-28-006_obj-mpb7lx_icephys.nwb,5,7
H20.28.006,1009830462,H20.28.006.11.08.01,both,sub-H20-28-006_obj-phy1fd_icephys.nwb,5,7
H20.28.006,,,,sub-H20-28-006_obj-t8xnys_icephys.nwb,5,7
H20.28.006,,,,sub-H20-28-006_obj-zecvo9_icephys.nwb,5,7
H20.28.008,1030886081,H20.28.008.11.05.04,L1,sub-H20-28-008_obj-1umszxs_icephys.nwb,1,4
H20.28.008,,,,sub-H20-28-008_obj-fio5y9_icephys.nwb,1,4
H20.28.008,,,,sub-H20-28-008_obj-i3x4vp_icephys.nwb,1,4
H20.28.008,,,,sub-H20-28-008_obj-te87he_icephys.nwb,1,4
H20.28.009,1030888833,H20.28.009.11.05.08,L1,sub-H20-28-009_obj-1ge6w8q_icephys.nwb,2,4
H20.28.009,1030890136,H20.28.009.12.07.02,both,sub-H20-28-009_obj-1htwdn3_icephys.nwb,2,4
H20.28.009,,,,sub-H20-28-009_obj-1sz7ccv_icephys.nwb,2,4
H20.28.009,,,,sub-H20-28-009_obj-qy58hs_icephys.nwb,2,4
H20.28.011,1031689414,H20.28.011.11.05.05,L1,sub-H20-28-011_obj-7hclv4_icephys.nwb,1,2
H20.28.011,,,,sub-H20-28-011_obj-sildgg_icephys.nwb,1,2
H20.28.012,1031694129,H20.28.012.11.05.05,L1,sub-H20-28-012_obj-1dt8l2q_icephys.nwb,4,4
H20.28.012,1031694285,H20.28.012.11.05.06,L1,sub-H20-28-012_obj-1qnchn1_icephys.nwb,4,4
H20.28.012,1031695167,H20.28.012.11.06.02,L1,sub-H20-28-012_obj-g8qjm1_icephys.nwb,4,4
H20.28.012,1031695427,H20.28.012.11.06.08,L1,sub-H20-28-012_obj-tzf0d6_icephys.nwb,4,4
H20.28.018,,,,sub-H20-28-018_icephys.nwb,0,1
H20.28.019,1036182166,H20.28.019.12.05.03,L1,sub-H20-28-019_icephys.nwb,1,1
H20.28.022,1038295890,H20.28.022.11.05.02,L1,sub-H20-28-022_obj-11wxfnz_icephys.nwb,4,5
H20.28.022,1038297171,H20.28.022.11.06.02,L1,sub-H20-28-022_obj-hks4n9_icephys.nwb,4,5
H20.28.022,1038297291,H20.28.022.11.06.04,L1,sub-H20-28-022_obj-n508z5_icephys.nwb,4,5
H20.28.022,1038297508,H20.28.022.11.06.09,L1,sub-H20-28-022_obj-vc7ewc_icephys.nwb,4,5
H20.28.022,,,,sub-H20-28-022_obj-wgln24_icephys.nwb,4,5
H20.28.023,1038298499,H20.28.023.11.05.02,L1,sub-H20-28-023_obj-1ix6tdo_icephys.nwb,3,2
H20.28.023,1038298740,H20.28.023.11.06.01,L1,sub-H20-28-023_obj-llul8t_icephys.nwb,3,2
H20.28.023,1038298745,H20.28.023.11.06.02,L1,,3,2
H20.28.027,1049223704,H20.28.027.11.05.06,L1,sub-H20-28-027_icephys.nwb,1,1
H20.28.028,1049224364,H20.28.028.11.05.08,L1,sub-H20-28-028_icephys.nwb,1,1
H20.28.031,1049225107,H20.28.031.13.05.03,L1,sub-H20-28-031_obj-1m35aw3_icephys.nwb,4,4
H20.28.031,1049225370,H20.28.031.13.05.05,L1,sub-H20-28-031_obj-1sg4t1h_icephys.nwb,4,4
H20.28.031,1049225574,H20.28.031.13.05.07,L1,sub-H20-28-031_obj-c7jkoq_icephys.nwb,4,4
H20.28.031,1049226021,H20.28.031.13.06.08,L1,sub-H20-28-031_obj-lyvbp5_icephys.nwb,4,4
H20.28.039,1060968867,H20.28.039.11.05.06,L1,sub-H20-28-039_icephys.nwb,1,1
H20.28.044,,,,sub-H20-28-044_icephys.nwb,0,1
H21.28.006,1099064600,H21.28.006.11.06.03,L1,,1,0
H21.28.013,1121208693,H21.28.013.11.05.04,L1,,1,0
H21.28.019,1110816804,H21.28.019.11.05.06,L1,,1,0
H21.28.022,1124283308,H21.28.022.11.05.09,L1,,1,0
