specimen_id,knn_subclass,knn_subclass_conf,knn_supertype,knn_supertype_conf,knn_mean_dist,scanvi_subclass,scanvi_supertype,original_subclass,subclass_for_plot
P1S4_170214_008_A01,Lamp5,1.0,Lamp5_2,0.8666666666666667,14.144343503316243,,,Lamp5/Pax6,Lamp5
P5S4_170509_207_A01,Pax6,0.8666666666666667,Pax6_1,0.6,14.749258422851563,,,Lamp5/Pax6,Lamp5
P2S4_170523_066_A01,Pvalb,1.0,Pvalb_15,1.0,8.830147520701091,,,Pvalb,Pvalb
P2S4_170523_068_A01,Pvalb,1.0,Pvalb_15,0.7333333333333333,12.684142939249675,,,Pvalb,Pvalb
P5S4_170523_205_A01,Vip,1.0,Vip_19,0.4666666666666667,15.562519200642903,,,Lamp5/Pax6,Lamp5
P5S4_170530_206_A01,Vip,1.0,Vip_19,0.6,26.834786224365235,,,Vip,Vip
P2S4_170613_061_A01,Sncg,0.7333333333333333,Sncg_6,0.6666666666666666,12.225850677490234,,,Vip,Vip
P2S4_170613_063_A01,Pax6,0.9333333333333333,Pax6_1,0.5333333333333333,16.43688023885091,,,Lamp5/Pax6,Lamp5
P1S4_170614_006_A01,Vip,1.0,Vip_9,0.5333333333333333,13.610991859436036,,,Vip,Vip
P8S4_170711_351_A01,Vip,1.0,Vip_15,1.0,8.965372276306152,,,Vip,Vip
P8S4_170919_357_A01,Vip,1.0,Vip_21,0.7333333333333333,11.67225767771403,Vip,Vip_21,Vip,Vip
P8S4_170919_355_A01,Vip,1.0,Vip_11,0.5333333333333333,6.40158478418986,Vip,Vip_13,Vip,Vip
PBS4_171011_502_A01,Pvalb,1.0,Pvalb_15,0.5333333333333333,9.552693112691243,Pvalb,Pvalb_15,Pvalb,Pvalb
P8S4_171010_358_A01,Pvalb,1.0,Pvalb_15,0.6666666666666666,12.736540158589682,Pvalb,Pvalb_15,Pvalb,Pvalb
P9S4_171026_405_A01,Pvalb,1.0,Pvalb_15,0.8,15.876539103190105,Pvalb,Pvalb_15,Pvalb,Pvalb
P2S4_171219_057_A01,Vip,1.0,Vip_1,0.26666666666666666,27.82495371500651,Vip,Vip_9,Vip,Vip
P8S4_171220_351_A01,Pvalb,1.0,Pvalb_15,0.8,11.289548746744792,Pvalb,Pvalb_15,Pvalb,Pvalb
PAS4_171219_452_A01,Lamp5 Lhx6,1.0,Lamp5_Lhx6_1,1.0,9.91543623606364,Lamp5_Lhx6,Lamp5_Lhx6_1,Lamp5_Lhx6,Lamp5_Lhx6
PBS4_171219_502_A01,Pvalb,0.7333333333333333,Pvalb_15,0.3333333333333333,14.422924613952636,L4 IT,L4 IT_2,L4 IT,L4 IT
P2S4_170131_058_A01,Vip,1.0,Vip_1,0.8666666666666667,11.638770612080892,,,Vip,Vip
P1S4_170131_002_A01,Vip,0.6666666666666666,Vip_19,0.5333333333333333,18.648972702026366,,,Lamp5/Pax6,Lamp5
P1S4_170301_006_A01,Pax6,0.6666666666666666,Pax6_1,0.6,10.107842063903808,,,Lamp5/Pax6,Lamp5
P8S4_170822_352_A01,Vip,1.0,Vip_19,0.3333333333333333,25.46015167236328,,,Vip,Vip
P8S4_170822_356_A01,Sncg,0.7333333333333333,Sncg_1,0.6,16.020526885986328,,,Lamp5/Pax6,Lamp5
P8S4_170821_360_A01,Vip,0.9333333333333333,Vip_19,0.3333333333333333,23.67696533203125,,,Lamp5/Pax6,Lamp5
P5S4_170821_209_A01,Vip,1.0,Vip_19,0.8,14.79834861755371,,,Vip,Vip
P8S4_171017_351_A01,Lamp5,1.0,Lamp5_2,0.6666666666666666,7.199151070912679,Lamp5,Lamp5_1,Lamp5,Lamp5
P2S4_171016_055_A01,Pvalb,1.0,Pvalb_15,0.6,9.304706573486328,Pvalb,Pvalb_15,Pvalb,Pvalb
PBS4_171205_502_A01,Lamp5,1.0,Lamp5_2,0.9333333333333333,11.549490483601888,Lamp5,Lamp5_2,Lamp5,Lamp5
PBS4_171205_507_A01,Lamp5 Lhx6,1.0,Lamp5_Lhx6_1,1.0,11.191133117675781,Lamp5_Lhx6,Lamp5_Lhx6_1,Lamp5_Lhx6,Lamp5_Lhx6
P8S4_171205_351_A01,Vip,1.0,Vip_5,1.0,10.63386510213216,Vip,Vip_5,Vip,Vip
P8S4_171205_354_A01,Lamp5 Lhx6,1.0,Lamp5_Lhx6_1,1.0,7.337661361694336,Lamp5_Lhx6,Lamp5_Lhx6_1,Lamp5_Lhx6,Lamp5_Lhx6
P9S4_171205_406_A01,Sst,1.0,Sst_25,0.9333333333333333,17.24629440307617,Sst,Sst_25,Sst,Sst
PXS4_171207_051_A01,Pvalb,0.9333333333333333,Pvalb_14,0.3333333333333333,14.581236839294434,Pvalb,Pvalb_14,Pvalb,Pvalb
P9S4_171013_403_A01,Pvalb,1.0,Pvalb_15,0.7333333333333333,17.991840871175132,Pvalb,Pvalb_15,Pvalb,Pvalb
PBS4_171127_501_A01,Pvalb,1.0,Pvalb_15,0.5333333333333333,19.643169784545897,Pvalb,Pvalb_2,Pvalb,Pvalb
P8S4_171127_354_A01,Vip,1.0,Vip_9,0.9333333333333333,12.272258377075195,Vip,Vip_9,Vip,Vip
P8S4_171127_352_A01,Vip,1.0,Vip_9,1.0,12.16241938273112,Vip,Vip_6,Vip,Vip
P8S4_171127_353_A01,Pvalb,0.8666666666666667,Pvalb_8,0.4666666666666667,13.620875549316406,L4 IT,L4 IT_2,L4 IT,L4 IT
PBS4_171212_504_A01,Pvalb,1.0,Pvalb_2,0.7333333333333333,5.724675591786703,Pvalb,Pvalb_15,Pvalb,Pvalb
PBS4_171212_505_A01,Lamp5 Lhx6,1.0,Lamp5_Lhx6_1,1.0,21.445224380493165,Lamp5_Lhx6,Lamp5_Lhx6_1,Lamp5_Lhx6,Lamp5_Lhx6
P8S4_180109_360_A01,Pvalb,1.0,Pvalb_15,0.9333333333333333,16.71857058207194,Pvalb,Pvalb_15,Pvalb,Pvalb
P1S4_180220_003_A01,Vip,1.0,Vip_13,0.8,9.508346112569173,Vip,Vip_13,Vip,Vip
PBS4_180221_502_A01,Lamp5,0.5333333333333333,Lamp5_Lhx6_1,0.4666666666666667,14.729424794514975,Lamp5_Lhx6,Lamp5_Lhx6_1,Lamp5_Lhx6,Lamp5_Lhx6
PBS4_180221_501_A01,Vip,1.0,Vip_9,1.0,9.71312878926595,Vip,Vip_9,Vip,Vip
PBS4_180313_508_A01,Vip,1.0,Vip_1,0.5333333333333333,40.95397682189942,Vip,Vip_11,Vip,Vip
P9S4_180313_406_A01,Vip,1.0,Vip_1,0.7333333333333333,29.342558161417642,Vip,Vip_19,Vip,Vip
P8S4_180313_356_A01,Pvalb,0.8666666666666667,Pvalb_8,0.4666666666666667,25.206756591796875,Pvalb,Pvalb_2,Pvalb,Pvalb
PBS4_180320_508_A01,Sst,1.0,Sst_3,1.0,16.86527099609375,Sst,Sst_3,Sst,Sst
PBS4_180320_507_A01,Pvalb,1.0,Pvalb_15,0.7333333333333333,14.636363792419434,Pvalb,Pvalb_15,Pvalb,Pvalb
P2S4_180320_058_A01,Vip,0.9333333333333333,Vip_19,0.7333333333333333,19.378306579589843,L4 IT,L4 IT_2,L4 IT,L4 IT
P8S4_180327_355_A01,Pvalb,0.8666666666666667,Pvalb_15,0.4666666666666667,16.407886250813803,Pvalb,Pvalb_15,Pvalb,Pvalb
P9S4_180327_404_A01,Vip,0.4666666666666667,Pvalb_8,0.3333333333333333,17.658062998453776,L5 IT,L5 IT_2,L5 IT,L5 IT
P8S4_180417_359_A01,Vip,1.0,Vip_11,0.5333333333333333,13.203653844197591,Vip,Vip_9,Vip,Vip
P8S4_180417_362_A01,Vip,1.0,Vip_6,0.6,7.972026220957438,Vip,Vip_6,Vip,Vip
P8S4_180417_363_A01,Pvalb,1.0,Pvalb_15,0.8,6.513891220092773,Pvalb,Pvalb_2,Pvalb,Pvalb
P8S4_180417_365_A01,Pax6,1.0,Pax6_4,0.9333333333333333,7.89190772374471,Pax6,Pax6_4,Pax6,Pax6
P8S4_180417_367_A01,Pvalb,1.0,Pvalb_15,0.7333333333333333,8.670876439412435,Pvalb,Pvalb_15,Pvalb,Pvalb
PBS4_180417_511_A01,Pvalb,1.0,Pvalb_15,1.0,11.111117426554362,Pvalb,Pvalb_15,Pvalb,Pvalb
P9S4_180417_411_A01,Lamp5,1.0,Lamp5_2,0.9333333333333333,11.365655326843262,Lamp5,Lamp5_2,Lamp5,Lamp5
P2S4_180424_055_A01,Vip,0.8666666666666667,Vip_19,0.3333333333333333,29.35219802856445,Lamp5,Lamp5_1,Lamp5,Lamp5
P8S4_180424_363_A01,Pvalb,1.0,Pvalb_2,0.4666666666666667,13.793482716878255,Pvalb,Pvalb_14,Pvalb,Pvalb
PCS4_210129_653_A01,Sst Chodl,1.0,Sst Chodl_2,0.8,12.930901336669923,Sst,Sst_3,Sst,Sst
P8S4_180424_361_A01,Vip,0.9333333333333333,Vip_14,0.3333333333333333,25.727298227945962,Vip,Vip_15,Vip,Vip
P8S4_180424_365_A01,Pvalb,1.0,Pvalb_15,0.8666666666666667,7.31230853398641,Pvalb,Pvalb_15,Pvalb,Pvalb
P9S4_180508_416_A01,Vip,0.9333333333333333,Vip_21,0.4,21.64648984273275,Vip,Vip_5,Vip,Vip
P9S4_180508_417_A01,Chandelier,1.0,Chandelier_1,1.0,6.4594341595967615,Chandelier,Chandelier_1,Chandelier,Chandelier
PBS4_180508_509_A01,Vip,1.0,Vip_4,0.4,10.675732103983561,Vip,Vip_4,Vip,Vip
P8S4_180508_359_A01,Pvalb,1.0,Pvalb_2,0.4666666666666667,17.538161849975587,Pvalb,Pvalb_15,Pvalb,Pvalb
PBS4_180508_510_A01,Pvalb,1.0,Pvalb_15,1.0,13.681549580891927,Pvalb,Pvalb_15,Pvalb,Pvalb
